Clinical Domain,Data Element,Definition
All,AvatarKey,The unique patient identifier generated by M2Gen for each Avatar patient.
Cytogenetic Abnormalities,CytogenAbnormInd,Indicates if there are cytogenetic abnormalities for the patient to report.
Cytogenetic Abnormalities,AgeAtCytogenAbnorm,"The patient's age at the procedure for cytogenetic abnormalities; for patients who are over the age of 89 the data should be is aggregated into a single category of “Age 90 or Older"". "
Cytogenetic Abnormalities,AgeAtCytogenAbnormFlag,"Indicates if the date used to calculate the AgeAtCytogenAbnormFlag is complete, partial or not reported."
Cytogenetic Abnormalities,YearOfCytogenAbnorm,The year of procedure for cytogenetic abnormalities; for patients who are over the age of 89 the data is aggregated as the year 1900. 
Cytogenetic Abnormalities,CytogenAbnormName,Indicates the name of the cytogenetic abnormality.
Cytogenetic Abnormalities,CytogenAbnormResult,Indicates the result of the cytogenetic abnormality.
Labs,LabInd,Indicates if there are labs for the patient to report.
Labs,AgeAtLabResults,"The patient's age at the time of the lab results; for patients who are over the age of 89 the data should be is aggregated into a single category of “Age 90 or Older"". "
Labs,AgeAtLabResultsFlag,"Indicates if the date used to calculate the AgeAtLabResults is complete, partial or not reported."
Labs,YearOfLabResults,The year of the lab results; for patients who are over the age of 89 the data is aggregated as the year 1900. 
Labs,LabTest,Records the lab test performed.
Labs,LabResults,Records the results of the lab test performed.
Labs,LabUnits,Records the unit of measure for the lab test performed.
Labs,LabLowRange,Records the specified low range for the results of the lab test performed.
Labs,LabHighRange,Records the specified high range for the results of the lab test performed.
Family History,CancerInFamilyInd,Indicates if the patient has a first degree family member with a history of cancer to report. 
Family History,FamilyRelation,Records the relationship of the family member with a history of cancer to the patient.
Family History,FamilyRelationPrimarySiteCode,Records the site code (ICD-O-3 when available) for the cancer site of the family member. 
Family History,FamilyRelationPrimarySite,Records the cancer site of the family member with a history of cancer. 
Family History,FamilyRelationAgeGroup,Records the age range of  the family member with a history of cancer.
Imaging,ImagingInd,Indicates if the patient has had any imaging/radiology scans for diagnosis or surveillance related to primary site of interest to report. 
Imaging,ImagingType,Records the intent (diagnostic or surveillance) of the imaging .
Imaging,ImagingModalityMethod,"Records the imaging method used, such as Bone Scan, CT Scan, etc."
Imaging,AgeAtImageScan,The patient's age at the time the imaging scan was performed; for patients who areover the age of 89 the data is aggregated into a single category of “Age 90 or Older”.
Imaging,AgeAtImageScanFlag,"Indicates if the date used to calculate the AgeAtImageScanFlag is complete, partial or not reported."
Imaging,YearOfImageScan,The year during which the imaging scan was performed; for patients who are over the age of 89 the data is aggregated as the year 1900.
Imaging,ImagingScanSiteHeadBrain,"Indicates if the head and/or brain was included in the parts of the body that were scanned, such as a MRI of the Brain."
Imaging,ImagingScanSiteNeck,"Indicates if the neck was included in the parts of the body that were scanned, such as a CT Scan of the Neck."
Imaging,ImagingScanSiteBreast,"Indicates if the breast(s) was included in the parts of the body that were scanned, such as a Mammogram."
Imaging,ImagingScanSiteChest,"Indicates if the chest was included in the parts of the body that were scanned, such as a CT Scan of the Chest."
Imaging,ImagingScanSiteExtremity,"Indicates if an extremity was included in the parts of the body that were scanned, such as a MRI of the Leg."
Imaging,ImagingScanSiteSpine,"Indicates if the spine was included in the parts of the body that were scanned, such as a MRI of the Thoracic Spine."
Imaging,ImagingScanSiteAbdomen,"Indicates if the abdomen was included in the parts of the body that were scanned, such as a CT Scan of the Abdomen."
Imaging,ImagingScanSitePelvis,"Indicates if the pelvis was included in the parts of the body that were scanned, such as a CT Scan of the Pelvis."
Imaging,ImagingScanSiteWholeBody,"Indicates if the whole body was included in the parts of the body that were scanned, such as a PET Scan."
Imaging,ImagingScanSiteOther,"Indicates if that another anatomic site was  included in the parts of the body that were scanned, but fell outside the options given."
Imaging,ImagingScanSiteUnknown,"Indicates if imaging was performed, but the anatomic site included in the scan is unknown."
Imaging,EvidenceOfLesion,Indicates if there is evidence of lesion (both measurable or non-measurable) identified on the scan.
Imaging,ImageLesionSite,Records the ICD-O-3 code for the site of the lesion identified on the scan.
Imaging,ImageLesionSiteDesc,Records the associated description for the ICD-O-3 code used in ImageLesionSite.
Imaging,ImageLesionGrowth,Indicates if growth of any existing lesion(s) is documented.
Medications,MedicationInd,Indicates if the patient has any medication to report.
Medications,MedReasonNoneGiven,Records the reason why no medication was reported for the patient.
Medications,MedPrimaryDiagnosisSiteCode,Records the ICD-O-3 code for the site of the primary diagnosis. 
Medications,MedPrimaryDiagnosisSite,Records the associated description for the ICD-O-3 code used in MedPrimaryDiagnosisSiteCode.
Medications,Medication,Records the name of the medication received.  
Medications,MedLineRegimen,Records the line of therapy on which the medication was received.
Medications,AgeAtMedStart,"The patient's age at the time the medication started for patients who areover the age of 89 the data is aggregated into a single category of “Age 90 or Older""."
Medications,AgeAtMedStartFlag,"Indicates if the date used to calculate the AgeAtMedStartFlag is complete, partial or not reported."
Medications,YearOfMedStart,The year during which the medication was started; for patients who are over the age of 89 the data is aggregated as the year 1900. 
Medications,MedContinuing ,Indicates that the patient is still recieving the medication.
Medications,AgeAtMedStop,The patient's age at the time the medication stopped; for patients who are over the age of 89 the data is aggregated into a single category of “Age 90 or Older”.
Medications,AgeAtMedStopFlag ,"Indicates if the date used to calculate the AgeAtMedStopFlag is complete, partial or not reported."
Medications,YearOfMedStop,The year during which the medication was stopped; for patients who are over the age of 89 the data is aggregated as the year 1900. 
Medications,ChangeOfTreatment,Records the reason why the patient changed treatment.
Medications,SystemicSurgerySequence,Records the sequence in which systemic therapy and surgical procedures were performed as part of the same course of treatment. 
Metastatic Disease,MetastaticDiseaseInd,Indicates if there are any regional lymph nodes and/or metastatic disease for the patient to report.
Metastatic Disease,"MetsDzPrimaryDiagnosisSiteCode
",Records the ICD-O-3 code for the site of the primary diagnosis.
Metastatic Disease,"MetsDzPrimaryDiagnosisSite
",Records the associated description for the ICD-O-3 code used in MetsDzPrimaryDiagnosisSiteCode.
Metastatic Disease,"AgeAtMetastaticSite
","The patient's age at the reported metastatic diagnosis event; for patients who are over the age of 89 the data is aggregated into a single category of ""Age 90 or Older""."
Metastatic Disease,"AgeAtMetastaticSiteFlag
","Indicates if the date used to calculate the AgeAtMetastaticSite is complete, partial or not reported."
Metastatic Disease,"YearOfMetastaticSite
",The year of the reported metastatic diagnosis event; for patients who are over the age of 89 the data is aggregates as the year 1900.
Metastatic Disease,"MetastaticDiseaseSiteCode
",Records the ICD-O-3 code for the anatomic site of metastatic involvement. 
Metastatic Disease,"MetastaticDiseaseSite
",Records the associated description for the ICD-O-3 code used in MetastaticDiseaseSiteCode.
Outcomes,"OutcomesPrimaryDiagnosisSiteCode
",Records the ICD-O-3 code for the site of the primary diagnosis for which the follow-up was performed.
Outcomes,OutcomesPrimaryDiagnosisSite,Records the associated description for the ICD-O-3 code used in OutcomesPrimaryDiagnosisSiteCode.
Outcomes,ProgRecurInd,Indicates if the patient has a progression or recurrent event reported.
Outcomes,"AgeAtProgRecur
","The patient's age at the progression or recurrent event; for patients who are over the age of 89 the data should be is aggregated into a single category of “Age 90 or Older"". "
Outcomes,AgeAtProgRecurFlag,"Indicates if the date used to calculate the AgeAtAgeAtProgRecur is complete, partial or not reported."
Outcomes,"YearOfProgRecur
",The year of the progression or recurrent event; for patients who are over the age of 89 the data is aggregated as the year 1900. 
Outcomes,ProgSourceFromTumorMarker,Records if a tumor marker or lab abnormality was one of the sources to determine disease progression.
Outcomes,"ProgSourceFromImaging
",Records if imaging was one of the sources to determine disease progression.
Outcomes,"ProgSourceFromPathConfirm
",Records if surgical and/or pathological confirmation was one of the sources to determine disease progression.
Outcomes,ProgSourceFromClinicalRecord,Records if notes in the clinical record (not otherwise specified) was one of the sources to determine disease progression.
Outcomes,RecurrenceType ,"Records the recurrence type for a recurrent event such as local recurrence, regional recurrence, etc."
Outcomes,RelapseStatus,Records a patient's relapse status.
Outcomes,DiseaseGroupBestResp,Indicates the disease group for the patient's diagnosis to determine the applicable best response options. 
Outcomes,AMLResponse,The patient's best response if the disease group is acute myeloid leukemia or acute lymphocytic leukemia.
Outcomes,CMLResponse,The patient's best response if the disease group is chronic myeloid leukemia.
Outcomes,CLLResponse,The patient's best response if the disease group is chronic lymphocytic leukemia.
Outcomes,MDSResponse,The patient's best response if the disease group is myelodysplastic syndromes.
Outcomes,JMMLResponse,The patient's best response if the disease group is juvenile myelomonocytic leukemia.
Outcomes,MultipleMyelomaPCLResponse,The patient's best response if the disease group is multiple myeloma or plasma cell leukemia.
Outcomes,AmyloidosisResponse,The patient's best response if the disease group is amyloidosis.
Outcomes,LymphomaResponse,The patient's best response if the disease group is lymphoma.
Outcomes,WaldenstromMacroResponse,The patient's best response if the disease group is Waldenstrom macroglobulinemia.
Outcomes,SolidTumorResponse,The patient's best response if the disease group is a solid tumor.
Outcomes,BestRespFromTumorMarker,Records if a tumor marker or lab abnormality was one of the sources to determine best response.
Outcomes,BestRespFromImaging,Records if imaging was one of the sources to determine best response.
