First split,,,,Second split,,,,Third split,,,,Fourth split,,,,Fifth split,
CD8_B,CD8_G,,,CD8_1,CD8_2+3,,,CD8_6,CD8_4+5,,,CD8_2,CD8_3,,,CD8_4,CD8_5
VCAM1,IL7R,,,SPC25,TXNIP,,,PLAC8,CXCL13,,,GEM,GIMAP5,,,S1PR1,CXCL13
CCL3,TCF7,,,CDCA5,TTN,,,GIMAP6,ELL2,,,APLP2,AOAH,,,LTB,HAVCR2
HAVCR2,GPR183,,,ESCO2,,,,GIMAP2,SLC7A5,,,SLC7A5,GIMAP7,,,GPR183,CTLA4
MYO7A,LMNA,,,CDC6,,,,GIMAP5,NR4A3,,,TGIF1,SCML4,,,ZNF683,TOX
GOLIM4,NR4A3,,,SHCBP1,,,,GIMAP4,LMNA,,,RDH10,LY9,,,SELL,TNFRSF9
CD38,MGAT4A,,,CDC45,,,,GIMAP7,DUSP4,,,FKBP4,GIMAP6,,,CCR7,DTHD1
ENTPD1,AIM1,,,RRM2,,,,GNLY,CREM,,,HSPH1,TC2N,,,P2RY8,NAB1
NDFIP2,CD55,,,DLGAP5,,,,SELL,CDKN1A,,,NAMPTL,GIMAP2,,,LMNA,TTN
MCM5,FAM65B,,,ZWINT,,,,DENND2D,KPNA2,,,TNFRSF18,GBP1,,,TNF,PDCD1
FASLG,RORA,,,RAD51,,,,PTPN6,CCDC64,,,DCTN6,GIMAP4,,,CDKN1A,IPCEF1
ACP5,TC2N,,,DTL,,,,TRPV2,PHLDA1,,,MTSS1,SAMD9L,,,S100A10,ITGAE
SNAP47,PER1,,,KIF18B,,,,IL16,CKS2,,,TNFRSF9,PPP1R18,,,PRNP,FKBP5
STMN1,FAM102A,,,TK1,,,,FLT3LG,ATP1B3,,,PFKFB3,GYG1,,,SORL1,SIRPG
PDCD1,FAM177A1,,,CCNB2,,,,S1PR1,TIPARP,,,PELI1,SAMD3,,,FAM65B,FCRL3
CXCL13,ATM,,,SPC24,,,,FAM65B,PFKFB3,,,DNAJA4,STOM,,,TMEM123,CD84
WARS,REL,,,BIRC5,,,,LTB,SAMSN1,,,RANGAP1,CYTH4,,,TES,PAM
CXCR6,FOSL2,,,UBE2C,,,,TNFAIP8,AHI1,,,CREM,GZMM,,,PIM1,CXCR6
PRDX3,STAT4,,,CDC20,,,,TRAF3IP3,DCTN6,,,FAM3C,GLIPR2,,,EMP3,ETS1
LSM2,FOXP1,,,CENPW,,,,PARP9,FAM177A1,,,SEC14L1,RAB37,,,GLIPR2,ATHL1
IGFLR1,EGR1,,,CDCA3,,,,A2M,KDM6B,,,CKS2,TBC1D10C,,,TPM4,CD27
MTHFD1,PIK3R1,,,HJURP,,,,SAMD3,GABARAPL1,,,DFNB31,MYO1F,,,OASL,PYHIN1
FABP5,TSPYL2,,,MELK,,,,GRAP2,INSIG1,,,VCAM1,GPR174,,,GLUL,IL6ST
DNPH1,,,,RAD51AP1,,,,PXN,TNFSF9,,,RGCC,C5orf56,,,RORA,SMAP2
SIRPG,,,,DHFR,,,,KLRG1,GTF2B,,,AHI1,GRAP2,,,NR4A1,LYST
PTTG1,,,,GINS2,,,,SASH3,TSPYL2,,,KPNA2,SLFN5,,,CXCR3,ERAP2
IFI35,,,,PKMYT1,,,,SSBP1,NAMPT,,,NR4A1,FAM102A,,,ANXA1,KLRC4
CCR5,,,,ANLN,,,,SAMHD1,RALGAPA1,,,TSPYL2,PATL2,,,ANXA2,LRMP
